Fecha,total_internacional,aerea,terrestre,maritima,america_centro,america_norte,europa
2009-01-01,93983.588580611569,81693,67442.029345172879,13379,93848.087646382686,36033.941698790193,12061
2009-02-01,87406.515953202834,70099,56266.692203377512,11674.000000000002,73988.387263613229,33970.304939764275,12642
2009-03-01,111155.34859352154,84494,73111.673818602852,11522,96398.150899583023,41482.522919019822,13676
2009-04-01,115076.15901508553,80618,89897.467694016435,9289.9999999999982,114286.68210111491,39595.785592901528,10562
2009-05-01,80712.27945483748,64621,58898.524350693071,6517,83304.469914819681,29239.054435873386,6245
2009-06-01,101151.66060474618,81500,69100.803378272743,842,95701.163455147063,42017.63992312568,6653
2009-07-01,81704.160298774441,74818,61683.951742219506,1115,96269.469086031691,29178.482656187807,6326
2009-08-01,127908.02814094553,76026,102144.0418037644,8699,125733.14353015932,36449.898273605082,10170
2009-09-01,85757.333499073851,61974,70046.133535601577,771,98025.431761530286,22160.701774071294,6324
2009-10-01,97992.75716140405,72950,79357.60978686891,846,111261.15331887046,27973.456467998454,7377
2009-11-01,109269.59249329548,82455,90295.27295869161,12913,125806.1358686615,30074.137090030097,10931
2009-12-01,137382.67795086018,104131,114201.65119713946,16135.999999999998,157418.39726927842,46425.253927861057,9223
2010-01-01,98028.612431787158,85216,75945.265511656369,14333,106483.00864475268,37862.256866903692,9873
2010-02-01,90920.372491755828,69352,62145.460226024756,7233,81072.356346480621,33685.103879544135,10714
2010-03-01,109681.3703145406,88849,73213.092759541032,10280,95843.31992274322,48435.772836797805,11484
2010-04-01,111653.60659454021,76466,93049.905303171137,6692,119646.12130044594,34912.784002725202,8727
2010-05-01,92244.09357038945,65070,75182.608947686094,2228,97354.136905046733,30032.472042639365,7041
2010-06-01,103594.03240003019,84570,69955.947074626805,943,99435.318043858904,42844.629030767901,6520
2010-07-01,137525.63947974972,102317,96362.83285998115,988,125130.32973600173,54110.503123979419,12284
2010-08-01,130000.08399004651,79180,103549.0306162957,7463,127001.82976361034,37421.200852685346,11594
2010-09-01,83566.728357780536,62853,67193.349698391976,714,95456.268411467448,21925.08128692452,6155
2010-10-01,100168.22724892465,76272,80576.124321226773,5218,114303.65364534994,27855.470675876837,7993
2010-11-01,112902.82673114441,84445,94155.335696744078,11566,129744.65774227306,31066.677954471008,11268
2010-12-01,140859.02739114847,99643,126547.04636668903,17505,166536.38986866781,44218.656498021235,9704
2011-01-01,104620.51579595033,81827,86590.557227015306,6649,115145.08491200685,35403.472315008468,10214
2011-02-01,95836.657843611349,69199,69655.865590866684,8579,88483.135194973336,32746.730395893352,10924
2011-03-01,120367.97378834433,77868,91059.791008657281,8008,111569.58910726917,39814.201901388107,10649
2011-04-01,127011.7626693856,77120,113079.76499508986,17334,138143.39408795419,37249.370907135693,9218
2011-05-01,94839.088087382144,68133,76689.547781259913,7765,102170.69393194425,30125.85384931567,6639
2011-06-01,108053.21180426482,82437,79665.468725904895,2270,108360.53593042374,41325.932795481167,6452
2011-07-01,133529.45404649546,97679,101582.00470178174,1260,131289.94151871614,51321.063183065613,10530
2011-08-01,117392.38907769526,77477,96080.493704580076,11698,124097.07098620424,33741.422718375834,10035
2011-09-01,88173.501247273933,65329,75213.839719741954,641,105097.67675853525,23078.162961206715,5963
2011-10-01,97799.455474417235,71644,79613.080595907857,4729,110734.98800635971,26427.092589548163,7459
2011-11-01,120045.12736902418,86040,100328.07790124381,6434,136002.00359961748,31803.074301626315,11263
2011-12-01,154333.01547341549,101211,141223.11067073603,9952,181883.34268717706,45546.767983558966,9261
2012-01-01,111895.51038734334,81067,94835.957768301072,7250,122214.34001954578,36525.617748755292,9565
2012-02-01,104196.65964456322,70168,76560.442198313161,6226,93819.680122007456,35615.762076305713,10801
2012-03-01,131415.38779149789,84564,100496.20825214811,5185,122296.00249908665,44971.205753061447,11173
2012-04-01,121495.89421332037,75122,106470.2362626656,8096,132244.41918745663,34347.817075208957,8251
2012-05-01,101294.73668247307,71959,79112.512043802795,9779,105871.61299981305,32340.899043989753,6557
2012-06-01,116492.96008080748,87824,84451.564226882256,965,112976.84376978572,46108.72045709654,6124
2012-07-01,136511.48796800742,96204,101978.37067282856,1937,129027.9298808559,52488.440791972658,9777
2012-08-01,119028.41565595333,72237,97403.403240382613,15710,119927.49277007497,34261.910470307645,9099
2012-09-01,95625.927451247291,65651,81377.527986489542,819,109162.6607248607,25049.867261628831,5878
2012-10-01,107193.8472117702,75434,91640.437496763596,3023,122678.05912848748,30033.378368276099,7802
2012-11-01,124993.67372635315,87872,106361.06831855708,10062,140790.30673513139,34753.761583425694,12078
2012-12-01,148290.48933699139,102428,135041.75250727762,17076,169915.19576479474,50497.556742482891,10324
2013-01-01,105083.78272284445,80051,89526.696535424009,9974,114928.74041598606,36342.956119437949,10470
2013-02-01,96425.457677592261,69139,69954.89946159556,7927,85722.280166587312,35378.619295008248,11147
2013-03-01,145026.62143631538,90893,124549.5553629627,15859,146822.41609044981,50680.139272512897,10944
2013-04-01,114084.88597704722,72202,106290.03722270243,10752,127787.30788467008,33933.729338032346,8564
2013-05-01,113182.31958035404,71046,107062.65691496404,5056,130523.20483401864,33675.452080945397,6666
2013-06-01,127840.26114563944,89180,107041.99485562296,943,132740.34480074816,49276.650054874808,6918
2013-07-01,140363.72984984677,95206,115142.01726466769,1998,137555.75891696519,54852.258347702489,10078
2013-08-01,129889.37812654627,77913,118249.93916965791,3058,141829.55918737949,37092.379982278406,9376
2013-09-01,99494.490530481315,66627,96529.06187134661,1339,124275.23640795665,24513.825463389963,6461
2013-10-01,100548.60512409559,79527,87345.46888297105,1890,120207.06656201315,30397.402320957899,8507
2013-11-01,120140.39882384602,92515,109333.0230046185,13151,145363.06099637237,34869.962008246148,12817
2013-12-01,151885.96272915631,112488,148648.40193935842,12985,192030.9442146995,51340.457724658911,10265
2014-01-01,136993.79827369715,90200,128136.34667639041,13722,155004.11886466408,41127.227811726334,12665
2014-02-01,118680.97891358371,78209,93971.245864746859,8477,113013.19120402806,37720.054660718801,13163
2014-03-01,134734.86878612189,92135,106756.33022266922,12836,128988.10570149668,48389.224521172531,13155
2014-04-01,144337.75076255164,89600,138262.13314891761,13576,165710.43832628604,43212.694822631573,10732
2014-05-01,118081.34260863198,80383,108539.56475260793,4306,135521.23865931731,36616.326093290612,8130
2014-06-01,125073.36554765163,99084,100072.47330128694,937,134941.00196309466,49299.471338192263,6933
2014-07-01,155261.77848585718,102729,133752.59480590301,1077,162582.84589978974,53891.748906113266,10928
2014-08-01,147974.4178650672,86492,137453.63196751618,3015,164237.67883810677,39134.953129409383,11304
2014-09-01,116939.34369236097,73602,113264.78059355928,818,144345.09189244191,26058.688701117357,7332
2014-10-01,132067.4525438094,86265,136667.87089512649,718,170965.76141273646,32218.109482390013,9954
2014-11-01,147999.40221347971,95776,151336.60998571018,12851,187794.5418497074,36831.068136002781,12941
2014-12-01,190145.11680319466,117878,206354.73464960404,11524,249672.19010613361,53132.544543470445,12146
2015-01-01,147531.7472197687,95064,147874.95120920139,7194,177363.78930593701,41163.161903264365,13347
2015-02-01,129510.75813276201,79878,116414.24754449066,8514,132327.29557642978,40762.951968060894,13323
2015-03-01,164845.56402409787,98121,150369.40803931904,12673,172026.64855622471,52359.759483094327,13703
2015-04-01,153046.64832778479,87540,158665.50812161784,21743,184946.43581212885,40574.072309488976,10582
2015-05-01,135947.81555102114,84334,141074.60772244775,8664,169508.94081668655,38338.666905761209,7884
2015-06-01,145257.87450456954,104893,139595.68691700848,2029,173969.44256763888,53259.244349369605,7389
