comment_id,video_id,author_name,texto_original,etiqueta_automatica,etiqueta_manual
UgwgoKatyznihVvDVVd4AaABAg,n8iP75gIpmw,@OsvaldoAguirre-l3i,Cuando los agarran con la manos en la masa ya ni Allan que decir estos buenos para nada! Solo para comer de gratis son buenos a que hijos de la gran patria! De Guatemala. Mantenidos estos corruptos solo para wuabiar son bueno.,positivo,
Ugy5lmf3RzzeJDUeqQd4AaABAg,ndAZjHqzzT8,@Alejandro00710,"Eso sin mencionar el costo de sus servicios, la mala calidad del mismo, mientras no haya una ley de competencia nos van a seguir jodiendo, urge.",negativo,
UgySlQlmZmrLAq5JsLx4AaABAg,PjmxCj-a9Hg,@kevinochoa3695,"Bienvenido el tren maya 🎉 como hay ineptos que se oponen a esta gran colaboración estamos hablando de desarrollo para nuestra frontera, desarrollo para el país en general acaso no saben cuantos turistas genera al año? imagínense de aquí a 10 años ya con el tren maya y todo nuestro país conectado logísticamente con trenes",positivo,
UgwHY5LtTiQ0lBONp8N4AaABAg,n8iP75gIpmw,@johnmejia992,"Tanto mierda este programa... tiene razón pero 
Y porque no le tira así a los corruptos",neutral,
UgwKjHT5lyjLiqR9ym94AaABAg,n8iP75gIpmw,@fredygarcia9151,Si hacen algo bueno para guate es por eso que se les paga.,positivo,
Ugwjtq_DUb6ISU-ppsh4AaABAg,n8iP75gIpmw,@byronpontaza,"Estoy seguro que si a los conductores los envían a hacer un trabajo a un departamento y les dan viáticos, buscan Buenos restaurantes para ir a comer y no se van al mercado",neutral,
UgxEsAK7q3l34wFdZ414AaABAg.A_zCnf5bSajA_znUL05zze,6W4u8sGEnGM,@AbigailRodas-w2r,Que fácil te dejas engañar al parecer todas se las crees a Bukeli,neutral,
UgzESrzC3abcN60poBF4AaABAg,lj983NWyAQY,@alexarcos8349,Me encanta poner un negocio en Guatemala en un futuro no muy lejano.,neutral,
UgyIfQ-oDt0uVFZIq9d4AaABAg,PjmxCj-a9Hg,@pablobarrios7931,"Guate tambien tiene gobierno PROGRE, LOS Y LAS DIPUTADAS,  JAJAJA
CIUDADANOS Y CIUDADANAS JAJAJA
CHIQUILLOS Y CHIQUILLOS JAJAJA
Los gobiernos PROGRES son los que estan llevando  a la ruina auchoa paises,  principalmente en occidente.  
Estos PROGRESS que se pongan a trabajar de manera mas activa por el Pais y no solo bla bla bla.   Se nesesita tomar.accion YA y no bla bla bla.",neutral,
UgyYRHeJlfB9VF69LSp4AaABAg,lj983NWyAQY,@alexandrevasquez4135,Me da mucha emoción q la ciudad de guatemala va prosperando algún día vamos hacer una de las ciudades mas famosas del mundo con alta tecnologia q china me gusta mucho este proyecto y ojalay q se cumpla..,positivo,
UgzZMPOIKJlwEpgh7zd4AaABAg,b_Hkrkl3adA,@lazarochavez8269,Porque estan aciendo protestas si la gasolina aun subira mas de precio yo claro les edicho que si Nosotros perdemos la guerra Con Irán 🇮🇷 ustedes países como Mexico Guatemala todos los países del mundo 🌎no podrán comprar gasolina porque el galón subira $10. por galón cuánto es esto en tu país es mucho dinero saludos desde mi hermoso país 🇺🇸🇺🇸💵🦅🇺🇸🇺🇸♥️,positivo,
UgwkiP4fW1xfpXbZcV14AaABAg,n8iP75gIpmw,@BenjaminLarios-jd8nk,Lo que este diputado ase por el paiz es robarle  al paiz   porque otro beneficio que tiene el paiz  con ellos nada,neutral,
UgyhYgz2ilvm1-T5IW94AaABAg,j43HgwYFKfk,@OmarMartinez-vv8re,"Esto es lo que los poderosos quieren esconder, sacan noticias a medias que confunden, si no acatan una orden para reinstalar a uno de sus miembros, que podemos esperar??? Entonces?? La ley es para unos y no para todos??...La San  Carlos ya no le pertenece ni representan al pueblo, "" Las ratas hacen fiesta en casa del gato""..😢",negativo,
UgzjqVqTKYeOrM1kW0F4AaABAg,lj983NWyAQY,@maynorcalel1442,Primero Dios,neutral,
UgxR0AXNH_3DGn-T1494AaABAg,n8iP75gIpmw,@osmanmorales3012,Y para que participan si por el sueldo no es sino por robar,neutral,
Ugxj76_NAyOnh_vsgMV4AaABAg,lj983NWyAQY,@sabinamarinaguerra3248,Se ve moderna Y bella la ciudad de Guatemala .......Saludos desde Ecuador,neutral,
Ugxf6gnAtXKqV1Q_zRd4AaABAg,WIUZtitfLRw,@blogarteplus,"Excelente reportaje. Les comparto algo que escribí en mi blog sobre mi experiencia siendo peatón en la cabecera departamental de Jutiapa, acá en Guatemala. 
https://mrmannoticias.blogspot.com/2018/04/el-indomito-peaton-de-jutiapa.html",positivo,
UgyC45vItnUiq1QrUtd4AaABAg.ALgn-KZ7p47ALgwtbYMM1u,PjmxCj-a9Hg,@ErmePérez-q4s,"Y los  que fueron hacer los pandilleros del salvador en antigua que, siguen haviendo maras en el salvador y eso es un país de maras",neutral,
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,@lizardomorataya8274,LADRONES !!!!,neutral,
UgxuO_1lX_-jTQfAzZx4AaABAg,lj983NWyAQY,@rolandojuchuna484,Sería  muy bueno construir el tren a nivel departamentales hacia la ciudad de Guatemala,positivo,
UgwY0wdDJRzHsTCnLbN4AaABAg,n8iP75gIpmw,@amyherrera7352,"Ala! Que tipo necio y descarado!  Hipócrita!
Comen y después hablan de desnutrición! Que colmo!
Gracias por cumplir con el mandato periodístico!",positivo,
UgzvKLXKEkVzjn_XRHp4AaABAg,n8iP75gIpmw,@alvaroesquivel563,Eso es exactamente lo que significa la verdadera politica: dividirse la riqueza del país entre unos cuantos. Sólo se puede guardar por todos estos delincuentes políticos un sentimiento de vivisima repugnancia.-,neutral,
