id,nombre,tipo,incremento_componentes,reduccion_componente_mayor,intermediacion,videos_distintos
video::n8iP75gIpmw,Qué rico come tu diputado,video,126,198,0.5656979124027836,
video::j43HgwYFKfk,La cooptación de Walter Mazariegos en la USAC,video,47,55,0.22747441670077775,
video::6W4u8sGEnGM,Inician los trabajos de recuperación del Puente Belice II.,video,31,45,0.187621776504298,
video::lj983NWyAQY,Plan 2032 Ciudad de Guatemala,video,24,0,0.0049119934506754,
video::PjmxCj-a9Hg,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,video,18,64,0.24402783462955385,
video::OkXlHx0hx-8,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,video,17,0,0.0025051166598444538,
video::yLZS3JiEBg8,Arroz con pollo a la MONOPOLIO,video,14,15,0.0636676217765043,
video::06mFNPU0aB8,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,video,12,13,0.05471960704052395,
video::ndAZjHqzzT8,Internet: escoger el menos malo,video,8,31,0.1282930822758903,
video::is3Mk5oC19g,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,video,6,7,0.0276545231273025,
video::b_Hkrkl3adA,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,video,6,7,0.0276545231273025,
video::WIUZtitfLRw,Caminar en una ciudad hecha para carros,video,5,6,0.023086369218174377,
video::TT4qJ5FXHYE,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",video,3,0,9.823986901350798e-05,
video::JkpVO1hx2f8,10 Preguntas a un año del Paro Nacional,video,2,0,4.911993450675399e-05,
autor::UCsUCN0Yq_UyTvKjOJLmNrnQ,@moisesvaldez4043,autor,1,8,0.03186246418338109,2.0
autor::UCjZgFEowMBrsjodqfovzdKw,@franciscoflores3120,autor,1,14,0.05789602947196071,2.0
autor::UCzZ6dDCEsLMXbc5pCFXIprw,@josegil3813,autor,1,46,0.17683176422431438,2.0
autor::UCHTGCgY2l-DQJIvlA_cpa_Q,@virgiliogarcia3039,autor,1,65,0.23158411788784283,2.0
autor::UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,autor,1,8,0.03186246418338109,2.0
autor::UCpsKOkt5iWTbenzeuq7dsmQ,@inge_vergueta,autor,1,32,0.21807613589848548,3.0
autor::UCvcu1kR8xMYy_I1Ty-2mV2Q,@hashojea7348,autor,1,7,0.059705280392959484,3.0
video::3Nfp9h5avBI,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",video,1,0,1.637331150225133e-05,
