id,grado,grado_ponderado,grado_centralidad,intermediacion,cercania,pagerank,vector_propio,author_channel_id,nombre,comentarios,videos_distintos,canales_distintos,comunidades_distintas,proy_grado,proy_grado_ponderado,proy_grado_centralidad,proy_intermediacion,proy_cercania,proy_pagerank,proy_vector_propio
autor::UCdFlugHJJa4l3YqWuNRmvXw,2,2,0.10526315789473684,0.03186246418338109,0.17607847387817038,0.0026983617584240773,0.0006575409974509424,UCdFlugHJJa4l3YqWuNRmvXw,@MarcosCarillo-b1r,2,2,2,1,54,54,0.16314199395770393,0.029552320790991488,0.3586724022632525,0.00441635368868181,0.002219488049971519
autor::UCvl1tzQeBeGy6efPTRJXSCw,1,1,0.05263157894736842,0.0,0.10232426303854876,0.0014900677837631298,1.1376327292194734e-08,UCvl1tzQeBeGy6efPTRJXSCw,@RaulPerez-cw2vi,1,1,1,1,12,12,0.03625377643504532,0.0,0.20846197102344144,0.002548612704496669,7.163946388514802e-08
autor::UCRAquv8el-tQ30bN7MlmySQ,1,1,0.05263157894736842,0.0,0.17422779922779924,0.0015012876402744307,0.0006549010269817344,UCRAquv8el-tQ30bN7MlmySQ,@iamjimalesssa,1,1,1,1,48,48,0.14501510574018128,0.0,0.3553255369233154,0.002898162641229915,0.0022186357747533006
autor::UCkbsS_3D-pvg1iHOld9uvIg,1,1,0.05263157894736842,0.0,0.17422779922779924,0.0015012876402744307,0.0006549010269817344,UCkbsS_3D-pvg1iHOld9uvIg,@gonzalo6075,1,1,1,1,48,48,0.14501510574018128,0.0,0.3553255369233154,0.002898162641229915,0.002218635774753286
autor::UCOLHH4ZpMxPYF-Q6e6wvn5A,1,1,0.05263157894736842,0.0,0.026448979591836733,0.0012806576023992745,,UCOLHH4ZpMxPYF-Q6e6wvn5A,@luisroldan7374,1,1,1,1,17,17,0.0513595166163142,0.0,0.0513595166163142,0.00304321363359708,
autor::UCi2KiZq63sRq8Mfbcp-MelQ,1,6,0.05263157894736842,0.0,0.026448979591836733,0.0055471934776435096,,UCi2KiZq63sRq8Mfbcp-MelQ,@eugeneramirez4405,6,1,1,1,17,17,0.0513595166163142,0.0,0.0513595166163142,0.00304321363359708,
autor::UCXl30Y_upRqbti52fmjK4YA,1,1,0.05263157894736842,0.0,0.12357371063441351,0.0015133016567510666,2.364779232623833e-06,UCXl30Y_upRqbti52fmjK4YA,@capitanfrans,1,1,1,1,15,15,0.045317220543806644,0.0,0.2510706815842767,0.0030386509494715547,1.338307535553248e-05
autor::UCRelkU8JiZBytTzebJxaa-w,1,1,0.05263157894736842,0.0,0.22186561048893746,0.0013102170967186151,0.04426701626519937,UCRelkU8JiZBytTzebJxaa-w,@danyraymundo2942,1,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221061
autor::UCgLurCo-e019HGODcjXHWCw,1,1,0.05263157894736842,0.0,0.03644314868804665,0.0015921333404745244,,UCgLurCo-e019HGODcjXHWCw,@perritojuega1,1,1,1,1,24,24,0.07250755287009064,0.0,0.07250755287009064,0.00304321363359708,
autor::UCDIMztpVm7G27qBuiWuT6oQ,1,1,0.05263157894736842,0.0,0.22186561048893746,0.0013102170967186151,0.04426701626519937,UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,1,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221064
autor::UCZOmq6MwFDVoCaEl99BRRaw,1,1,0.05263157894736842,0.0,0.16792433326442008,0.001367816507721139,0.00018794410011703963,UCZOmq6MwFDVoCaEl99BRRaw,@daniloarevalo3170,1,1,1,1,9,9,0.027190332326283987,0.0,0.34151617375439736,0.0019228331088015492,0.000755535841317151
autor::UCFybmWapGvBKcQod7cPPH9w,1,1,0.05263157894736842,0.0,0.1326122448979592,0.0012314659094801788,2.7197538771321635e-06,UCFybmWapGvBKcQod7cPPH9w,@vitalianochavez8382,1,1,1,1,31,31,0.09365558912386707,0.0,0.2703838109369134,0.0031737991501789077,8.306085209580399e-06
autor::UCh5ESQvtzyHDhCA7XyekCFA,1,3,0.05263157894736842,0.0,0.22186561048893746,0.0030759504354549902,0.13280104879559812,UCh5ESQvtzyHDhCA7XyekCFA,@andyB5280,3,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221059
autor::UCWIZUtKJ636y-4TYrNvok0g,1,1,0.05263157894736842,0.0,0.22186561048893746,0.0013102170967186151,0.04426701626519937,UCWIZUtKJ636y-4TYrNvok0g,@cesarandreas7824,1,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221061
autor::UCzoL2l5H5eVlorWGH8AZfAg,1,1,0.05263157894736842,0.0,0.22186561048893746,0.0013102170967186151,0.04426701626519937,UCzoL2l5H5eVlorWGH8AZfAg,@jor77cas,1,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221063
autor::UCKVzDUqbtdSMBcexaEtMmzQ,1,1,0.05263157894736842,0.0,0.0065306122448979586,0.0018670735454650957,,UCKVzDUqbtdSMBcexaEtMmzQ,@rotorairgroup8409,1,1,1,1,3,3,0.00906344410876133,0.0,0.00906344410876133,0.0030432136335970775,
autor::UCNpt5CQlTzNjlAKY6CJtClQ,1,1,0.05263157894736842,0.0,0.17422779922779924,0.0015012876402744307,0.0006549010269817344,UCNpt5CQlTzNjlAKY6CJtClQ,@eustaquiogomez9975,1,1,1,1,48,48,0.14501510574018128,0.0,0.3553255369233154,0.002898162641229915,0.0022186357747532876
autor::UCut6b9S98nv84cVX89PmKzA,1,2,0.05263157894736842,0.0,0.22186561048893746,0.0021930837660868027,0.08853403253039874,UCut6b9S98nv84cVX89PmKzA,@yeniferaguirre4498,2,1,1,1,127,127,0.38368580060422963,0.0,0.45422330067930783,0.003268711512314818,0.08835177314221063
