id,grado,grado_ponderado,grado_centralidad,intermediacion,cercania,pagerank,vector_propio,video_id,comentarios,autores_unicos,title,channel_name,category,view_count,comunidad,proy_grado,proy_grado_ponderado,proy_grado_centralidad,proy_intermediacion,proy_cercania,proy_pagerank,proy_vector_propio
video::06mFNPU0aB8,13,14,0.0391566265060241,0.05471960704052395,0.1169714861751152,0.0175089303511094,1.8169079073898647e-07,06mFNPU0aB8,14,13,Capturan a presuntos delincuentes disfrazados de mujer señalados de cometer asalto,Noti7,News & Politics,6692,2,1,1,0.05555555555555555,0.0,0.13636363636363635,0.05174103810719495,0.01243958509993313
video::3Nfp9h5avBI,2,2,0.006024096385542169,1.637331150225133e-05,0.005714285714285714,0.004158241920386521,,3Nfp9h5avBI,2,2,"Noticiero en Directo 1 pm, 28 de Agosto de 2026",Noticiero Guatevisión 13 Hrs.,News & Politics,573,4,0,0,0.0,0.0,0.0,0.01321585903083759,
video::6W4u8sGEnGM,32,45,0.0963855421686747,0.187621776504298,0.15830247515104268,0.042587049609192386,4.343706185400144e-05,6W4u8sGEnGM,45,32,Inician los trabajos de recuperación del Puente Belice II.,Gobierno de la República de Guatemala,Entertainment,11670,2,2,2,0.1111111111111111,0.05228758169934641,0.18,0.09065129790108671,0.044614701575028726
video::JkpVO1hx2f8,3,3,0.009036144578313254,4.911993450675399e-05,0.008571428571428572,0.005467480991770194,,JkpVO1hx2f8,3,3,10 Preguntas a un año del Paro Nacional,Quorum,News & Politics,673,5,0,0,0.0,0.0,0.0,0.01321585903083759,
video::OkXlHx0hx-8,18,25,0.05421686746987952,0.0025051166598444538,0.05142857142857143,0.025106067062525276,,OkXlHx0hx-8,25,18,EE.UU. envía a mexicanos deportados a Guatemala antes de su regreso a México | Noticias Telemundo,Noticias Telemundo,News & Politics,14200,6,0,0,0.0,0.0,0.0,0.01321585903083759,
video::PjmxCj-a9Hg,19,25,0.057228915662650606,0.24402783462955385,0.21567976633032393,0.02489845719622953,0.006605350759747666,PjmxCj-a9Hg,25,19,Conferencia de Prensa del Gobierno de Guatemala. #LaRondaGt,Gobierno de la República de Guatemala,Entertainment,3628,2,2,2,0.1111111111111111,0.09150326797385622,0.23684210526315788,0.07871125882598357,0.14757150696129587
video::TT4qJ5FXHYE,4,4,0.012048192771084338,9.823986901350798e-05,0.011428571428571429,0.006776720063153866,,TT4qJ5FXHYE,4,4,"I’x K’at: el primer equipo guatemalteco de pelota maya, conformado únicamente por mujeres.",Quorum,News & Politics,1075,7,0,0,0.0,0.0,0.0,0.01321585903083759,
video::UhL9y3KUl8E,1,1,0.0030120481927710845,0.0,0.002857142857142857,0.002849002849002849,,UhL9y3KUl8E,1,1,SHAI WA: la vecina queer de Casa Presidencial,Quorum,News & Politics,1755,8,0,0,0.0,0.0,0.0,0.01321585903083759,
video::WIUZtitfLRw,6,6,0.01807228915662651,0.023086369218174377,0.14378651088688266,0.008062240973786048,2.425433809173997e-05,WIUZtitfLRw,6,6,Caminar en una ciudad hecha para carros,Quorum,News & Politics,422,3,2,2,0.1111111111111111,0.0,0.1875,0.06286782162965186,0.25514675264510817
video::X_FAIef8qlE,1,1,0.0030120481927710845,0.0,0.002857142857142857,0.002849002849002849,,X_FAIef8qlE,1,1,Cruzando la ciudad a puro Transmetro,Quorum,News & Politics,1140,9,0,0,0.0,0.0,0.0,0.01321585903083759,
video::b_Hkrkl3adA,7,7,0.021084337349397592,0.0276545231273025,0.17796888694127957,0.009614467051270288,0.0028499319115859187,b_Hkrkl3adA,7,7,Bloqueos en Guatemala este 31 de agosto por alza en combustibles afectan rutas principales,PrensaLibreOficial,News & Politics,5469,1,1,1,0.05555555555555555,0.0,0.1956521739130435,0.040186079749626194,0.13513192186136277
video::is3Mk5oC19g,7,7,0.021084337349397592,0.0276545231273025,0.14595687331536386,0.009861357965640024,4.216284478138732e-05,is3Mk5oC19g,7,7,Capturan a ladrón que había quedado grabado mientras robaba en una parroquia de Retalhuleu,TN23 Guatemala,News & Politics,4616,1,1,1,0.05555555555555555,0.0,0.17307692307692307,0.03989251182927367,0.12737972057840638
video::j43HgwYFKfk,49,50,0.14759036144578314,0.22747441670077775,0.2214422028353326,0.06319466982589136,0.010459393644538604,j43HgwYFKfk,50,49,La cooptación de Walter Mazariegos en la USAC,Quorum,News & Politics,10156,1,3,4,0.16666666666666666,0.05228758169934641,0.25,0.1255349590319854,0.4568486950860424
video::lj983NWyAQY,25,25,0.07530120481927711,0.0049119934506754,0.07142857142857142,0.03427074056221097,,lj983NWyAQY,25,25,Plan 2032 Ciudad de Guatemala,Municipalidad de Guatemala,News & Politics,304089,10,0,0,0.0,0.0,0.0,0.01321585903083759,
video::n8iP75gIpmw,128,161,0.3855421686746988,0.5656979124027836,0.3045556805399325,0.16729048325787446,0.7069864445331144,n8iP75gIpmw,161,128,Qué rico come tu diputado,Quorum,News & Politics,11775,1,4,5,0.2222222222222222,0.1503267973856209,0.3,0.15865222271285587,0.484652045761339
video::ndAZjHqzzT8,10,12,0.030120481927710843,0.1282930822758903,0.21135831381733022,0.013282064576976432,0.00300164642488407,ndAZjHqzzT8,12,10,Internet: escoger el menos malo,Quorum,News & Politics,717,3,4,5,0.2222222222222222,0.09150326797385622,0.2647058823529412,0.14394431182462677,0.5418087929549198
video::s0eco-BofOs,1,1,0.0030120481927710845,0.0,0.002857142857142857,0.002849002849002849,,s0eco-BofOs,1,1,¿Quiénes pagan más en Centroamérica?,Quorum,News & Politics,220,11,0,0,0.0,0.0,0.0,0.01321585903083759,
video::yLZS3JiEBg8,16,16,0.04819277108433735,0.0636676217765043,0.14559060763577703,0.020447900670114542,3.7767778423486456e-05,yLZS3JiEBg8,16,16,Arroz con pollo a la MONOPOLIO,Quorum,News & Politics,1954,3,2,3,0.1111111111111111,0.0,0.1875,0.08887576711017645,0.3732776939055222
video::zweosulrwA8,1,1,0.0030120481927710845,0.0,0.002857142857142857,0.002849002849002849,,zweosulrwA8,1,1,Edén por Salud: empleo inclusivo para personas con discapacidad en Antigua | Super - Episodio 2,Quorum,Nonprofits & Activism,52,12,0,0,0.0,0.0,0.0,0.01321585903083759,
