node_id,id_original,tipo,nombre,handle,canal,categoria,visualizaciones
autor::UCdFlugHJJa4l3YqWuNRmvXw,UCdFlugHJJa4l3YqWuNRmvXw,autor,@MarcosCarillo-b1r,/@MarcosCarillo-b1r,,,
autor::UCvl1tzQeBeGy6efPTRJXSCw,UCvl1tzQeBeGy6efPTRJXSCw,autor,@RaulPerez-cw2vi,/@RaulPerez-cw2vi,,,
autor::UCRAquv8el-tQ30bN7MlmySQ,UCRAquv8el-tQ30bN7MlmySQ,autor,@iamjimalesssa,/@iamjimalesssa,,,
autor::UCkbsS_3D-pvg1iHOld9uvIg,UCkbsS_3D-pvg1iHOld9uvIg,autor,@gonzalo6075,/@gonzalo6075,,,
autor::UCOLHH4ZpMxPYF-Q6e6wvn5A,UCOLHH4ZpMxPYF-Q6e6wvn5A,autor,@luisroldan7374,/@luisroldan7374,,,
autor::UCi2KiZq63sRq8Mfbcp-MelQ,UCi2KiZq63sRq8Mfbcp-MelQ,autor,@eugeneramirez4405,/@eugeneramirez4405,,,
autor::UCXl30Y_upRqbti52fmjK4YA,UCXl30Y_upRqbti52fmjK4YA,autor,@capitanfrans,/@capitanfrans,,,
autor::UCRelkU8JiZBytTzebJxaa-w,UCRelkU8JiZBytTzebJxaa-w,autor,@danyraymundo2942,/@danyraymundo2942,,,
autor::UCgLurCo-e019HGODcjXHWCw,UCgLurCo-e019HGODcjXHWCw,autor,@perritojuega1,/@perritojuega1,,,
autor::UCDIMztpVm7G27qBuiWuT6oQ,UCDIMztpVm7G27qBuiWuT6oQ,autor,@lizardomorataya8274,/@lizardomorataya8274,,,
autor::UCZOmq6MwFDVoCaEl99BRRaw,UCZOmq6MwFDVoCaEl99BRRaw,autor,@daniloarevalo3170,/@daniloarevalo3170,,,
autor::UCFybmWapGvBKcQod7cPPH9w,UCFybmWapGvBKcQod7cPPH9w,autor,@vitalianochavez8382,/@vitalianochavez8382,,,
autor::UCh5ESQvtzyHDhCA7XyekCFA,UCh5ESQvtzyHDhCA7XyekCFA,autor,@andyB5280,/@andyB5280,,,
autor::UCWIZUtKJ636y-4TYrNvok0g,UCWIZUtKJ636y-4TYrNvok0g,autor,@cesarandreas7824,/@cesarandreas7824,,,
autor::UCzoL2l5H5eVlorWGH8AZfAg,UCzoL2l5H5eVlorWGH8AZfAg,autor,@jor77cas,/@jor77cas,,,
autor::UCKVzDUqbtdSMBcexaEtMmzQ,UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,/@rotorairgroup8409,,,
autor::UCNpt5CQlTzNjlAKY6CJtClQ,UCNpt5CQlTzNjlAKY6CJtClQ,autor,@eustaquiogomez9975,/@eustaquiogomez9975,,,
autor::UCut6b9S98nv84cVX89PmKzA,UCut6b9S98nv84cVX89PmKzA,autor,@yeniferaguirre4498,/@yeniferaguirre4498,,,
autor::UCQyOePccUP-fIJYzchAgZYw,UCQyOePccUP-fIJYzchAgZYw,autor,@aguilar4254,/@aguilar4254,,,
autor::UCOLGv5Pf6BF2wFcwUzgcvHg,UCOLGv5Pf6BF2wFcwUzgcvHg,autor,@welfrealdana5559,/@welfrealdana5559,,,
autor::UCAxvOOHQk7dYPOajzFEVtbA,UCAxvOOHQk7dYPOajzFEVtbA,autor,@ruddydepaz322,/@ruddydepaz322,,,
autor::UCQ_-LPP8JAbfkc-b1Q6NvWw,UCQ_-LPP8JAbfkc-b1Q6NvWw,autor,@MegaKristenstewart,/@MegaKristenstewart,,,
autor::UCXmrpc6Li0spcKxtS0Q_ptg,UCXmrpc6Li0spcKxtS0Q_ptg,autor,@melvinperez6710,/@melvinperez6710,,,
autor::UCZ51R_9Q9C0c8I3pAWhtmjQ,UCZ51R_9Q9C0c8I3pAWhtmjQ,autor,@belvettzapeta1251,/@belvettzapeta1251,,,
autor::UCPLW0HE3siElqCgXfgWxMqg,UCPLW0HE3siElqCgXfgWxMqg,autor,@elizabethmonterroso7719,/@elizabethmonterroso7719,,,
autor::UCxhtlxPV8AYWaNNyU6S9H8Q,UCxhtlxPV8AYWaNNyU6S9H8Q,autor,@WilR-s8r,/@WilR-s8r,,,
