comment_id,video_id,author_channel_id,channel_name,category,comunidad,sentimiento_score_base,sentimiento_base,sentimiento_score,sentimiento
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,UCdFlugHJJa4l3YqWuNRmvXw,Quorum,News & Politics,1,-1.0,negativo,-1.0,negativo
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,UCvl1tzQeBeGy6efPTRJXSCw,Noti7,News & Politics,2,1.0,positivo,1.0,positivo
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,UCRAquv8el-tQ30bN7MlmySQ,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,UCkbsS_3D-pvg1iHOld9uvIg,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,UCOLHH4ZpMxPYF-Q6e6wvn5A,Noticias Telemundo,News & Politics,6,0.0,neutral,0.0,neutral
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,UCi2KiZq63sRq8Mfbcp-MelQ,Noticias Telemundo,News & Politics,6,0.0,neutral,0.0,neutral
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,UCXl30Y_upRqbti52fmjK4YA,Quorum,News & Politics,3,0.0,neutral,1.0,positivo
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,UCRelkU8JiZBytTzebJxaa-w,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,UCgLurCo-e019HGODcjXHWCw,Municipalidad de Guatemala,News & Politics,10,0.0,neutral,0.0,neutral
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,UCDIMztpVm7G27qBuiWuT6oQ,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,UCZOmq6MwFDVoCaEl99BRRaw,Quorum,News & Politics,3,0.0,neutral,-1.0,negativo
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,UCFybmWapGvBKcQod7cPPH9w,Gobierno de la República de Guatemala,Entertainment,2,1.0,positivo,1.0,positivo
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,UCh5ESQvtzyHDhCA7XyekCFA,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,UCWIZUtKJ636y-4TYrNvok0g,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,UCzoL2l5H5eVlorWGH8AZfAg,Quorum,News & Politics,1,0.0,neutral,-1.0,negativo
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,UCKVzDUqbtdSMBcexaEtMmzQ,Quorum,News & Politics,7,0.0,neutral,0.0,neutral
Ugw74asIfir0_SVC6OB4AaABAg,j43HgwYFKfk,UCNpt5CQlTzNjlAKY6CJtClQ,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw86zOgTwKzYotlT9l4AaABAg,n8iP75gIpmw,UCut6b9S98nv84cVX89PmKzA,Quorum,News & Politics,1,0.0,neutral,-1.0,negativo
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,j43HgwYFKfk,UCQyOePccUP-fIJYzchAgZYw,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw8pyxscJNUQpfoKuF4AaABAg,n8iP75gIpmw,UCOLGv5Pf6BF2wFcwUzgcvHg,Quorum,News & Politics,1,0.0,neutral,0.0,neutral
Ugw9_Qw_QaSdggWuKJt4AaABAg,06mFNPU0aB8,UCAxvOOHQk7dYPOajzFEVtbA,Noti7,News & Politics,2,0.0,neutral,0.0,neutral
Ugw9eye2GML6RHRSu-14AaABAg,n8iP75gIpmw,UCQ_-LPP8JAbfkc-b1Q6NvWw,Quorum,News & Politics,1,-1.0,negativo,-1.0,negativo
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,UCXmrpc6Li0spcKxtS0Q_ptg,Municipalidad de Guatemala,News & Politics,10,1.0,positivo,1.0,positivo
UgwARHTnVAzzPrHbNox4AaABAg,n8iP75gIpmw,UCZ51R_9Q9C0c8I3pAWhtmjQ,Quorum,News & Politics,1,1.0,positivo,1.0,positivo
