,precision,recall,f1-score,support
a,0.75,0.6666666666666666,0.7058823529411765,90.0
b,0.03076923076923077,0.044444444444444446,0.03636363636363636,90.0
c,0.925,0.4111111111111111,0.5692307692307692,90.0
d,0.058823529411764705,0.044444444444444446,0.05063291139240506,90.0
del,0.9104477611940298,0.6777777777777778,0.7770700636942676,90.0
e,0.7567567567567568,0.3111111111111111,0.4409448818897638,90.0
f,0.6382978723404256,1.0,0.7792207792207793,90.0
g,0.780952380952381,0.9111111111111111,0.841025641025641,90.0
h,0.7282608695652174,0.7444444444444445,0.7362637362637363,90.0
i,0.9302325581395349,0.8888888888888888,0.9090909090909091,90.0
j,0.9178082191780822,0.7444444444444445,0.8220858895705522,90.0
k,0.9782608695652174,1.0,0.989010989010989,90.0
l,0.7086614173228346,1.0,0.8294930875576036,90.0
m,1.0,0.5111111111111111,0.6764705882352942,90.0
n,0.8390804597701149,0.8111111111111111,0.8248587570621468,90.0
nothing,1.0,1.0,1.0,90.0
o,0.5352112676056338,0.8444444444444444,0.6551724137931034,90.0
p,1.0,0.7888888888888889,0.8819875776397516,90.0
q,0.8653846153846154,1.0,0.9278350515463918,90.0
r,0.8,0.6666666666666666,0.7272727272727273,90.0
s,0.4036697247706422,0.4888888888888889,0.44221105527638194,90.0
space,0.6716417910447762,1.0,0.8035714285714286,90.0
t,0.0,0.0,0.0,90.0
u,0.42857142857142855,0.6666666666666666,0.5217391304347826,90.0
v,0.5,0.8222222222222222,0.6218487394957983,90.0
w,0.9090909090909091,0.4444444444444444,0.5970149253731343,90.0
x,0.6634615384615384,0.7666666666666667,0.711340206185567,90.0
y,0.7272727272727273,0.5333333333333333,0.6153846153846154,90.0
z,0.35714285714285715,0.3333333333333333,0.3448275862068966,90.0
accuracy,0.6593869731800767,0.6593869731800767,0.6593869731800767,0.6593869731800767
macro avg,0.6832689235969214,0.6593869731800766,0.6495810499906983,2610.0
weighted avg,0.6832689235969213,0.6593869731800767,0.6495810499906982,2610.0
