etiqueta_esperada,a,b,c,d,e,i,j,k,l,m,n,nothing,p,r,s,u,w,y,z
i,0,0,0,1,0,5,0,3,0,0,0,1,0,0,0,0,0,0,0
j,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
l,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,2,0,0,7,1,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
o,0,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0
s,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
u,0,2,0,0,0,0,0,3,0,0,0,0,0,3,0,2,0,0,0
v,1,0,0,0,5,0,0,0,0,0,0,2,0,0,1,0,0,0,1
w,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,5
x,1,0,0,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0
y,0,0,6,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0
z,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
