,a,b,c,d,del,e,f,g,h,i,j,k,l,m,n,nothing,o,p,q,r,s,space,t,u,v,w,x,y,z
a,60,5,0,22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
b,1,4,1,30,0,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,13
c,0,11,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
d,7,77,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
del,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0
e,0,30,0,6,0,28,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g,0,0,0,0,0,0,0,82,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h,0,0,0,0,0,0,0,23,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i,0,0,0,0,0,0,0,0,0,80,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
j,0,0,0,0,0,0,0,0,17,6,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
l,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m,0,0,0,0,0,0,0,0,0,0,0,0,0,46,14,0,30,0,0,0,0,0,0,0,0,0,0,0,0
n,4,0,0,0,5,0,0,0,0,0,0,0,0,0,73,0,8,0,0,0,0,0,0,0,0,0,0,0,0
nothing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,14,0,0,0,0,0,0,0,0,0
p,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,71,11,0,0,0,0,0,1,0,0,0,0
q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0
r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,27,0,2,0,0,0,0,0,0
s,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,44,0,16,8,0,0,12,0,0
space,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0
t,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,29,0,0,30,0,0,0,1,0
u,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,30,0,0,0,0
v,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,10,74,0,0,0,0
w,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,13,40,14,0,0
x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,69,5,0
y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,8,48,4
z,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,2,10,0,0,0,1,12,30
