letra,modelo,n_fotos,recall,confianza_media
i,CNN2_normal,10,0.0,0.7722669392824173
i,CNN2_aug,10,0.5,0.5698559254407882
i,RandomForest,10,0.0,0.1625
j,CNN2_normal,10,0.1,0.6533392995595932
j,CNN2_aug,10,1.0,0.7667662739753723
j,RandomForest,10,0.0,0.1865
k,CNN2_normal,10,0.0,0.7563265770673752
k,CNN2_aug,10,1.0,0.9008833289146423
k,RandomForest,10,0.0,0.1595
l,CNN2_normal,10,0.0,0.6649606168270111
l,CNN2_aug,10,0.9,0.8438091933727264
l,RandomForest,10,0.0,0.16449999999999998
m,CNN2_normal,10,0.0,0.504061870276928
m,CNN2_aug,10,0.7,0.7134944081306458
m,RandomForest,10,0.0,0.1915
n,CNN2_normal,10,0.8,0.6720125585794449
n,CNN2_aug,10,0.0,0.787128159403801
n,RandomForest,10,0.0,0.17650000000000002
o,CNN2_normal,10,0.0,0.4944153606891632
o,CNN2_aug,10,0.0,0.5943421065807343
o,RandomForest,10,0.0,0.217
r,CNN2_normal,10,0.0,0.5875415712594986
r,CNN2_aug,10,0.1,0.7174820125102996
r,RandomForest,10,0.0,0.177
s,CNN2_normal,10,0.0,0.4688087195158005
s,CNN2_aug,10,0.0,0.5642603218555451
s,RandomForest,10,0.0,0.174
u,CNN2_normal,10,0.0,0.5088574752211571
u,CNN2_aug,10,0.2,0.5105977803468704
u,RandomForest,10,0.0,0.1895
v,CNN2_normal,10,0.0,0.5954202711582184
v,CNN2_aug,10,0.0,0.5607615664601326
v,RandomForest,10,0.0,0.178
w,CNN2_normal,10,0.0,0.5720227956771851
w,CNN2_aug,10,0.1,0.5049098998308181
w,RandomForest,10,0.0,0.20099999999999998
x,CNN2_normal,10,0.0,0.4727453142404556
x,CNN2_aug,10,0.0,0.4474561557173729
x,RandomForest,10,0.0,0.1905
y,CNN2_normal,10,0.0,0.6972447514533997
y,CNN2_aug,10,0.2,0.48814643621444703
y,RandomForest,10,0.0,0.196
z,CNN2_normal,10,0.0,0.6130858719348907
z,CNN2_aug,10,0.7,0.7349124699831009
z,RandomForest,10,0.0,0.2185
