archivo,integrante,etiqueta_esperada,CNN2_normal_pred,CNN2_normal_confianza,CNN2_aug_pred,CNN2_aug_confianza,RandomForest_pred,RandomForest_confianza,CNN2_normal_correcto,CNN2_aug_correcto,RandomForest_correcto
asl_alphabet_test\i\20260808_175423.jpg,Integrante A,i,n,0.7912992835044861,i,0.7423851490020752,nothing,0.165,False,True,False
asl_alphabet_test\i\20260808_175432.jpg,Integrante A,i,nothing,0.4643673300743103,i,0.3526557385921478,nothing,0.155,False,True,False
asl_alphabet_test\i\20260808_175434.jpg,Integrante A,i,nothing,0.9285991191864014,nothing,0.8707224726676941,nothing,0.12,False,False,False
asl_alphabet_test\i\20260808_175437.jpg,Integrante A,i,n,0.8442485332489014,i,0.725494384765625,nothing,0.2,False,True,False
asl_alphabet_test\i\20260808_175439.jpg,Integrante A,i,n,0.9189140200614929,i,0.5014461278915405,nothing,0.195,False,True,False
asl_alphabet_test\i\20260808_175440.jpg,Integrante A,i,n,0.8690334558486938,k,0.5654082894325256,nothing,0.145,False,False,False
asl_alphabet_test\i\20260808_175442.jpg,Integrante A,i,n,0.7395066618919373,k,0.5490082502365112,nothing,0.21,False,False,False
asl_alphabet_test\i\20260808_175444.jpg,Integrante A,i,n,0.8424369692802429,k,0.47493985295295715,nothing,0.165,False,False,False
asl_alphabet_test\i\20260808_175707.jpg,Integrante A,i,n,0.9216823577880859,i,0.38624438643455505,nothing,0.14,False,True,False
asl_alphabet_test\i\20260808_225126.jpg,Integrante A,i,n,0.40258166193962097,d,0.530254602432251,nothing,0.13,False,False,False
asl_alphabet_test\j\20260808_175546.jpg,Integrante A,j,nothing,0.6295437216758728,j,0.9441964030265808,nothing,0.2,False,True,False
asl_alphabet_test\j\20260808_175554.jpg,Integrante A,j,nothing,0.45706334710121155,j,0.942139208316803,nothing,0.18,False,True,False
asl_alphabet_test\j\20260808_175603.jpg,Integrante A,j,nothing,0.9361686110496521,j,0.5896139740943909,nothing,0.155,False,True,False
asl_alphabet_test\j\20260808_175606.jpg,Integrante A,j,n,0.33313244581222534,j,0.9658502340316772,nothing,0.2,False,True,False
asl_alphabet_test\j\20260808_175613.jpg,Integrante A,j,nothing,0.6771330833435059,j,0.6769484281539917,nothing,0.185,False,True,False
asl_alphabet_test\j\20260808_175619.jpg,Integrante A,j,n,0.9251738786697388,j,0.3796499967575073,nothing,0.14,False,True,False
asl_alphabet_test\j\20260808_175648.jpg,Integrante A,j,nothing,0.48320668935775757,j,0.9323335886001587,nothing,0.23,False,True,False
asl_alphabet_test\j\20260808_175655.jpg,Integrante A,j,nothing,0.6562904715538025,j,0.8360335230827332,nothing,0.22,False,True,False
asl_alphabet_test\j\20260808_175659.jpg,Integrante A,j,n,0.8148736357688904,j,0.6403834223747253,nothing,0.17,False,True,False
asl_alphabet_test\j\20260808_175703.jpg,Integrante A,j,j,0.6208071112632751,j,0.760513961315155,nothing,0.185,True,True,False
asl_alphabet_test\k\20260808_175756.jpg,Integrante A,k,nothing,0.9139885306358337,k,0.9726427793502808,nothing,0.16,False,True,False
asl_alphabet_test\k\20260808_175806.jpg,Integrante A,k,nothing,0.9456393718719482,k,0.9433018565177917,nothing,0.16,False,True,False
asl_alphabet_test\k\20260808_175809.jpg,Integrante A,k,nothing,0.8182773590087891,k,0.964845597743988,nothing,0.145,False,True,False
asl_alphabet_test\k\20260808_175811.jpg,Integrante A,k,nothing,0.47505033016204834,k,0.9739039540290833,nothing,0.18,False,True,False
asl_alphabet_test\k\20260808_175813.jpg,Integrante A,k,nothing,0.4860701262950897,k,0.9459601640701294,nothing,0.195,False,True,False
asl_alphabet_test\k\20260808_175815.jpg,Integrante A,k,nothing,0.6285110116004944,k,0.9804045557975769,nothing,0.155,False,True,False
asl_alphabet_test\k\20260808_175817.jpg,Integrante A,k,nothing,0.9327272176742554,k,0.7225020527839661,nothing,0.11,False,True,False
asl_alphabet_test\k\20260808_175818.jpg,Integrante A,k,nothing,0.6329500079154968,k,0.9126332402229309,nothing,0.17,False,True,False
asl_alphabet_test\k\20260808_175820.jpg,Integrante A,k,nothing,0.7892054319381714,k,0.673427402973175,nothing,0.21,False,True,False
asl_alphabet_test\k\20260808_175821.jpg,Integrante A,k,nothing,0.9408463835716248,k,0.9192116856575012,nothing,0.11,False,True,False
asl_alphabet_test\l\20260808_175245.jpg,Integrante A,l,nothing,0.8535732626914978,l,0.9353660941123962,nothing,0.155,False,True,False
asl_alphabet_test\l\20260808_175248.jpg,Integrante A,l,nothing,0.7870638370513916,l,0.8931698799133301,nothing,0.135,False,True,False
asl_alphabet_test\l\20260808_175250.jpg,Integrante A,l,n,0.5076330304145813,l,0.9687446355819702,nothing,0.2,False,True,False
asl_alphabet_test\l\20260808_175252.jpg,Integrante A,l,nothing,0.3627081513404846,l,0.9781450629234314,nothing,0.18,False,True,False
asl_alphabet_test\l\20260808_175255.jpg,Integrante A,l,n,0.6520273685455322,l,0.951090931892395,nothing,0.19,False,True,False
asl_alphabet_test\l\20260808_175257.jpg,Integrante A,l,n,0.3968975841999054,l,0.6078878045082092,nothing,0.115,False,True,False
asl_alphabet_test\l\20260808_175301.jpg,Integrante A,l,nothing,0.8716838955879211,l,0.8948853611946106,nothing,0.145,False,True,False
asl_alphabet_test\l\20260808_175305.jpg,Integrante A,l,nothing,0.840591549873352,c,0.5660861134529114,nothing,0.18,False,False,False
asl_alphabet_test\l\20260808_175309.jpg,Integrante A,l,nothing,0.39721623063087463,l,0.8247520327568054,nothing,0.17,False,True,False
asl_alphabet_test\l\20260808_175325.jpg,Integrante A,l,nothing,0.9802112579345703,l,0.8179640173912048,nothing,0.175,False,True,False
asl_alphabet_test\M\1000117023.jpg,Integrante B,m,b,0.3801935911178589,j,0.813308596611023,nothing,0.14,False,False,False
asl_alphabet_test\M\1000117024.jpg,Integrante B,m,n,0.5222005248069763,m,0.49463850259780884,nothing,0.14,False,True,False
asl_alphabet_test\M\1000117025.jpg,Integrante B,m,n,0.3530883491039276,j,0.6841191649436951,nothing,0.155,False,False,False
asl_alphabet_test\M\1000117026.jpg,Integrante B,m,b,0.39072608947753906,m,0.5161895155906677,nothing,0.185,False,True,False
asl_alphabet_test\M\1000117027.jpg,Integrante B,m,b,0.43000414967536926,m,0.8373373746871948,nothing,0.155,False,True,False
asl_alphabet_test\M\1000117028.jpg,Integrante B,m,a,0.37415844202041626,m,0.8573259711265564,nothing,0.21,False,True,False
asl_alphabet_test\M\1000117029.jpg,Integrante B,m,n,0.5676627159118652,m,0.3805692195892334,nothing,0.205,False,True,False
asl_alphabet_test\M\1000117030.jpg,Integrante B,m,n,0.8736492395401001,m,0.9886981844902039,nothing,0.255,False,True,False
asl_alphabet_test\M\1000117031.jpg,Integrante B,m,nothing,0.21916507184505463,m,0.880730390548706,nothing,0.225,False,True,False
asl_alphabet_test\M\1000117032.jpg,Integrante B,m,n,0.9297705292701721,n,0.6820271611213684,nothing,0.245,False,False,False
asl_alphabet_test\N\1000117044.jpg,Integrante B,n,n,0.8314981460571289,m,0.4688963294029236,nothing,0.185,True,False,False
asl_alphabet_test\N\1000117045.jpg,Integrante B,n,nothing,0.8580124378204346,m,0.5263850092887878,nothing,0.23,False,False,False
asl_alphabet_test\N\1000117046.jpg,Integrante B,n,nothing,0.5774813890457153,m,0.3177122175693512,nothing,0.225,False,False,False
asl_alphabet_test\N\1000117047.jpg,Integrante B,n,n,0.29074910283088684,m,0.9547663927078247,nothing,0.17,True,False,False
asl_alphabet_test\N\1000117048.jpg,Integrante B,n,n,0.7299578785896301,m,0.9942979216575623,nothing,0.16,True,False,False
asl_alphabet_test\N\1000117049.jpg,Integrante B,n,n,0.6703065633773804,m,0.8783701658248901,nothing,0.145,True,False,False
asl_alphabet_test\N\1000117050.jpg,Integrante B,n,n,0.7417349815368652,m,0.8538195490837097,nothing,0.17,True,False,False
asl_alphabet_test\N\1000117051.jpg,Integrante B,n,n,0.8369706869125366,m,0.9882673621177673,nothing,0.135,True,False,False
