lago,fecha,n_bloques,bloques_con_positivos,bloques_menos_10_obs,obs_totales,positivos_totales
amatitlan,2025-01-28,44,3,6,141852,34
amatitlan,2025-04-15,38,15,0,144251,387
amatitlan,2025-04-28,38,17,0,144700,6393
amatitlan,2025-11-24,41,7,3,143545,2564
amatitlan,2026-01-08,44,18,6,146461,8661
amatitlan,2026-02-02,42,1,4,145437,27
amatitlan,2026-02-07,22,1,2,65188,1
amatitlan,2026-03-29,38,13,0,146330,9676
amatitlan,2026-04-13,38,22,0,147070,2062
amatitlan,2026-04-28,38,19,2,139628,43927
amatitlan,2026-06-19,38,33,0,135896,61178
atitlan,2025-01-18,208,16,22,581760,289
atitlan,2025-04-13,166,3,1,1220310,10
atitlan,2025-05-13,166,5,1,1219028,14
atitlan,2025-07-17,166,22,2,1169657,447
atitlan,2025-11-21,203,18,9,1025001,554
atitlan,2025-12-29,208,12,9,1144938,345
atitlan,2026-02-12,202,8,12,972781,167
atitlan,2026-03-24,170,2,3,1218766,6
atitlan,2026-04-13,166,5,1,1214717,17
atitlan,2026-04-28,167,1,2,1217053,2
atitlan,2026-07-22,169,19,4,1205034,947
