lago,bloque_id,bloque_x,bloque_y,n_alta_cyano_0,n_alta_cyano_1,n_total
amatitlan,amatitlan_764_1597,764,1597,108809,1191,110000
amatitlan,amatitlan_764_1596,764,1596,90884,10234,101118
amatitlan,amatitlan_760_1601,760,1601,81218,17499,98717
amatitlan,amatitlan_763_1598,763,1598,90305,2131,92436
amatitlan,amatitlan_758_1602,758,1602,74453,13459,87912
amatitlan,amatitlan_761_1600,761,1600,72089,5806,77895
amatitlan,amatitlan_763_1597,763,1597,72665,2895,75560
amatitlan,amatitlan_765_1597,765,1597,71263,2574,73837
amatitlan,amatitlan_765_1596,765,1596,61965,9023,70988
amatitlan,amatitlan_759_1602,759,1602,53600,11153,64753
amatitlan,amatitlan_765_1598,765,1598,59917,2599,62516
amatitlan,amatitlan_760_1600,760,1600,52552,8705,61257
amatitlan,amatitlan_761_1601,761,1601,48177,6796,54973
amatitlan,amatitlan_764_1598,764,1598,52852,1966,54818
amatitlan,amatitlan_761_1602,761,1602,41396,5323,46719
amatitlan,amatitlan_762_1599,762,1599,44779,970,45749
amatitlan,amatitlan_760_1602,760,1602,37318,7691,45009
amatitlan,amatitlan_759_1601,759,1601,30218,6416,36634
amatitlan,amatitlan_758_1601,758,1601,30030,2109,32139
amatitlan,amatitlan_762_1598,762,1598,28414,609,29023
amatitlan,amatitlan_761_1599,761,1599,25508,290,25798
amatitlan,amatitlan_762_1600,762,1600,22132,2294,24426
amatitlan,amatitlan_757_1602,757,1602,17933,3017,20950
amatitlan,amatitlan_763_1596,763,1596,16910,1137,18047
amatitlan,amatitlan_757_1603,757,1603,13961,3076,17037
amatitlan,amatitlan_765_1595,765,1595,13650,1449,15099
amatitlan,amatitlan_766_1598,766,1598,11681,438,12119
amatitlan,amatitlan_759_1594,759,1594,10686,1,10687
amatitlan,amatitlan_763_1599,763,1599,7489,180,7669
amatitlan,amatitlan_761_1603,761,1603,5285,931,6216
amatitlan,amatitlan_758_1603,758,1603,4379,1057,5436
amatitlan,amatitlan_764_1595,764,1595,5121,303,5424
amatitlan,amatitlan_762_1602,762,1602,2820,413,3233
amatitlan,amatitlan_762_1601,762,1601,2202,693,2895
amatitlan,amatitlan_760_1594,760,1594,1136,1,1137
amatitlan,amatitlan_764_1601,764,1601,540,251,791
amatitlan,amatitlan_759_1600,759,1600,498,149,647
amatitlan,amatitlan_757_1601,757,1601,519,81,600
amatitlan,amatitlan_760_1595,760,1595,27,0,27
amatitlan,amatitlan_766_1597,766,1597,26,0,26
amatitlan,amatitlan_760_1596,760,1596,12,0,12
amatitlan,amatitlan_766_1595,766,1595,12,0,12
amatitlan,amatitlan_767_1598,767,1598,12,0,12
amatitlan,amatitlan_764_1594,764,1594,4,0,4
amatitlan,amatitlan_760_1603,760,1603,1,0,1
atitlan,atitlan_687_1626,687,1626,109955,0,109955
atitlan,atitlan_688_1625,688,1625,109911,0,109911
atitlan,atitlan_688_1626,688,1626,109853,0,109853
atitlan,atitlan_686_1626,686,1626,109431,2,109433
atitlan,atitlan_694_1628,694,1628,108568,3,108571
atitlan,atitlan_693_1628,693,1628,108434,0,108434
atitlan,atitlan_689_1625,689,1625,108257,0,108257
atitlan,atitlan_689_1624,689,1624,108198,0,108198
atitlan,atitlan_689_1626,689,1626,107856,0,107856
atitlan,atitlan_692_1628,692,1628,107843,0,107843
atitlan,atitlan_699_1624,699,1624,107679,0,107679
atitlan,atitlan_695_1628,695,1628,107669,0,107669
atitlan,atitlan_699_1626,699,1626,107608,0,107608
atitlan,atitlan_699_1625,699,1625,107588,0,107588
atitlan,atitlan_694_1627,694,1627,107550,0,107550
atitlan,atitlan_696_1624,696,1624,107538,0,107538
atitlan,atitlan_689_1627,689,1627,107532,0,107532
atitlan,atitlan_695_1627,695,1627,107494,0,107494
atitlan,atitlan_690_1623,690,1623,107397,0,107397
atitlan,atitlan_692_1627,692,1627,107331,0,107331
atitlan,atitlan_697_1628,697,1628,107296,0,107296
atitlan,atitlan_698_1627,698,1627,107245,0,107245
atitlan,atitlan_693_1627,693,1627,107233,0,107233
atitlan,atitlan_690_1627,690,1627,107097,0,107097
atitlan,atitlan_695_1626,695,1626,107075,0,107075
atitlan,atitlan_698_1626,698,1626,107072,0,107072
atitlan,atitlan_699_1623,699,1623,107053,0,107053
atitlan,atitlan_699_1627,699,1627,106885,0,106885
atitlan,atitlan_697_1624,697,1624,106864,0,106864
atitlan,atitlan_700_1623,700,1623,106746,0,106746
