umbral,accuracy,precision,recall,f1,f2,roc_auc,pr_auc,balanced_accuracy,specificity,tn,fp,fn,tp,escenario,modelo,n_train,positivos_train,n_test,positivos_test
0.5,0.8069161635669643,0.2569206621004566,0.6121026687064423,0.36192773506206344,0.4795195483114946,0.7791560530552875,0.46650477478535335,0.7190799267775647,0.8260571848486873,49461,10415,2282,3601,"7.1 Experimento A: entrena Atitlán, prueba Amatitlán",Regresión Logística,534241,136,65759,5883
0.5,0.9123313919007284,0.8511904761904762,0.024307326194118645,0.04726491489010081,0.030168776371308017,0.7507292977417084,0.4260433225044873,0.5119448983165128,0.999582470438907,59851,25,5740,143,"7.1 Experimento A: entrena Atitlán, prueba Amatitlán",Random Forest,534241,136,65759,5883
0.5,0.915920254261774,0.6597472924187726,0.12425633180350161,0.20912601916750106,0.14833603896103897,0.8074573621338824,0.2721395355326924,0.5589799930111101,0.9937036542187186,59499,377,5152,731,"7.1 Experimento A: entrena Atitlán, prueba Amatitlán",XGBoost,534241,136,65759,5883
0.5,0.9702999208222506,0.006957938945652855,0.8161764705882353,0.01379824724967369,0.03364248045099109,0.9681893348796254,0.3725729803650636,0.8932578180540618,0.9703391655198884,518263,15842,25,111,"7.2 Experimento B: entrena Amatitlán, prueba Atitlán",Regresión Logística,65759,5883,534241,136
0.5,0.9985605747218952,0.11729141475211609,0.7132352941176471,0.20145379023883697,0.3537563822027717,0.9879796231408562,0.2156994410447996,0.8559342608332686,0.9986332275488902,533375,730,39,97,"7.2 Experimento B: entrena Amatitlán, prueba Atitlán",Random Forest,65759,5883,534241,136
0.5,0.9973495108013051,0.07276368491321762,0.8014705882352942,0.13341493268053856,0.26689520078354556,0.9888282872336736,0.2953213487241673,0.8994349879980639,0.9973993877608336,532716,1389,27,109,"7.2 Experimento B: entrena Amatitlán, prueba Atitlán",XGBoost,65759,5883,534241,136
0.5,0.9931616679041385,0.03524229074889868,0.975609756097561,0.06802721088435375,0.15396458814472672,0.9987441228511341,0.14874116729863404,0.9843879575834552,0.9931661590693495,159137,1095,1,40,Referencia: mismo lago (Atitlán 70/30),Regresión Logística,373968,95,160273,41
0.5,0.9996755535866927,0.39215686274509803,0.4878048780487805,0.43478260869565216,0.46511627906976744,0.9752187072647099,0.48948994655638767,0.7438057042897555,0.9998065305307304,160201,31,21,20,Referencia: mismo lago (Atitlán 70/30),Random Forest,373968,95,160273,41
0.5,0.9970675035720302,0.07524752475247524,0.926829268292683,0.1391941391941392,0.28400597907324365,0.997178405336652,0.14294269285631886,0.9619573721761983,0.9970854760597134,159765,467,3,38,Referencia: mismo lago (Atitlán 70/30),XGBoost,373968,95,160273,41
0.5,0.941301703163017,0.6117040853882959,0.941643059490085,0.7416331994645248,0.8499539736115372,0.9797976608827179,0.8477730499117399,0.9414556109118855,0.9412681623336859,16908,1055,103,1662,Referencia: mismo lago (Amatitlán 70/30),Regresión Logística,46031,4118,19728,1765
0.5,0.9683698296836983,0.771021377672209,0.9195467422096317,0.8387596899224806,0.8854337152209493,0.990826484847118,0.9142525354647307,0.9463569039222739,0.9731670656349162,17481,482,142,1623,Referencia: mismo lago (Amatitlán 70/30),Random Forest,46031,4118,19728,1765
0.5,0.9414537712895377,0.6069424964936886,0.9807365439093484,0.7498375568551007,0.8731840193704601,0.990667612478215,0.9077264335177393,0.9591652435073101,0.937593943105272,16842,1121,34,1731,Referencia: mismo lago (Amatitlán 70/30),XGBoost,46031,4118,19728,1765
