lago,fecha,n,positivos_observados,positivos_predichos,prevalencia_observada_pct,prevalencia_predicha_pct,probabilidad_media,precision,recall,pr_auc,tn,fp,fn,tp
amatitlan,2025-01-28,141852,34,26,0.023968643374784986,0.018328962580717933,0.0005829500150866807,0.5769230769230769,0.4411764705882353,0.4789529196993937,141807,11,19,15
amatitlan,2025-04-15,144251,387,812,0.26828236892638524,0.5629077094786171,0.009330148808658123,0.43103448275862066,0.9043927648578811,0.569516977666428,143402,462,37,350
amatitlan,2025-04-28,144700,6393,11994,4.418106427090532,8.288873531444366,0.13331899046897888,0.4823244955811239,0.904895979978101,0.7697207353895005,132098,6209,608,5785
amatitlan,2025-11-24,143545,2564,3095,1.7861994496499354,2.1561182904315723,0.024328688159585,0.7961227786752827,0.9609984399375975,0.952275503649822,140350,631,100,2464
amatitlan,2026-01-08,146461,8661,10336,5.913519640040693,7.057168802616396,0.07947680354118347,0.8011803405572755,0.9561251587576493,0.9621597208979169,135745,2055,380,8281
amatitlan,2026-02-02,145437,27,34,0.01856473937168671,0.023377819949531413,0.0005272960988804698,0.7941176470588235,1.0,0.9222389810625105,145403,7,0,27
amatitlan,2026-02-07,65188,1,35,0.0015340246671166472,0.05369086334908265,0.0015969177475199103,0.0,0.0,7.887057338906853e-05,65152,35,1,0
amatitlan,2026-03-29,146330,9676,11236,6.612451308685848,7.678534818560786,0.09149804711341858,0.836062655749377,0.9708557255064076,0.9720120558681912,134812,1842,282,9394
amatitlan,2026-04-13,147070,2062,3975,1.4020534439382606,2.7027945876113417,0.07470831274986267,0.3361006289308176,0.6479146459747818,0.4365296331664509,142369,2639,726,1336
amatitlan,2026-04-28,139628,43927,49731,31.46002234508838,35.61678173432263,0.3761956989765167,0.8801753433472079,0.9964714184897672,0.9901674184599759,89742,5959,155,43772
amatitlan,2026-06-19,135896,61178,78394,45.01824924942603,57.68676046388415,0.6092661619186401,0.7694211291680486,0.9859426591258296,0.9549303759574292,56642,18076,860,60318
atitlan,2025-01-18,581760,289,604,0.04967684268426842,0.10382288228822883,0.0014754494186490774,0.35596026490066224,0.7439446366782007,0.57340182902679,581082,389,74,215
atitlan,2025-04-13,1220310,10,15,0.0008194639067122288,0.0012291958600683434,3.52495517290663e-05,0.3333333333333333,0.5,0.3462061990524989,1220290,10,5,5
atitlan,2025-05-13,1219028,14,0,0.0011484559829634759,0.0,4.821966285817325e-05,0.0,0.0,0.08498690452719532,1219014,0,14,0
atitlan,2025-07-17,1169657,447,898,0.03821633179641553,0.07677464419056185,0.0013361593009904027,0.3596881959910913,0.7225950782997763,0.44470885131817117,1168635,575,124,323
atitlan,2025-11-21,1025001,554,984,0.05404872775733877,0.0959999063415548,0.0014052060432732105,0.47865853658536583,0.8501805054151624,0.6823295647260086,1023934,513,83,471
atitlan,2025-12-29,1144938,345,644,0.030132636002997544,0.05624758720559542,0.0010616848012432456,0.36801242236024845,0.6869565217391305,0.5633482604088085,1144186,407,108,237
atitlan,2026-02-12,972781,167,245,0.017167276087834776,0.02518552479951808,0.0004698636184912175,0.5551020408163265,0.8143712574850299,0.5790815498421112,972505,109,31,136
atitlan,2026-03-24,1218766,6,0,0.0004923012292761694,0.0,4.4067404814995825e-05,0.0,0.0,0.16221554376167843,1218760,0,6,0
atitlan,2026-04-13,1214717,17,17,0.0013995029294889263,0.0013995029294889263,4.858657484874129e-05,0.35294117647058826,0.35294117647058826,0.21123567225070827,1214689,11,11,6
atitlan,2026-04-28,1217053,2,6,0.00016433138080264377,0.0004929941424079313,5.5999447795329615e-05,0.3333333333333333,1.0,0.3333333333333333,1217047,4,0,2
atitlan,2026-07-22,1205034,947,1800,0.07858699422588906,0.14937337867645228,0.0019379042787477374,0.4272222222222222,0.8120380147835269,0.5480139285046935,1203056,1031,178,769
