lago,bloque_x,bloque_y,n,positivos,fp,fn,tp,errores,x_centro,y_centro,tasa_error_pct,tasa_fp_pct,tasa_fn_pct
amatitlan,757,1601,600,81,47,0,81,47,757500.0,1601500.0,7.833333333333333,9.05587668593449,0.0
amatitlan,757,1602,20950,3017,867,54,2963,921,757500.0,1602500.0,4.39618138424821,4.834662354318853,1.7898574743122306
amatitlan,757,1603,17037,3076,900,78,2998,978,757500.0,1603500.0,5.740447261841873,6.446529618222191,2.5357607282184653
amatitlan,758,1601,32139,2109,1531,82,2027,1613,758500.0,1601500.0,5.018824481159961,5.098235098235098,3.88809862494073
amatitlan,758,1602,87912,13459,2429,258,13201,2687,758500.0,1602500.0,3.0564655564655565,3.262460881361396,1.9169329073482428
amatitlan,758,1603,5436,1057,51,2,1055,53,758500.0,1603500.0,0.9749816041206769,1.1646494633477964,0.1892147587511826
amatitlan,759,1594,10687,1,0,1,0,1,759500.0,1594500.0,0.009357162908206231,0.0,100.0
amatitlan,759,1600,647,149,46,1,148,47,759500.0,1600500.0,7.2642967542503865,9.236947791164658,0.6711409395973155
amatitlan,759,1601,36634,6416,2797,20,6396,2817,759500.0,1601500.0,7.689577987661735,9.256072539545967,0.3117206982543641
amatitlan,759,1602,64753,11153,3342,131,11022,3473,759500.0,1602500.0,5.363458063719055,6.235074626865671,1.174571864072447
amatitlan,760,1594,1137,1,0,1,0,1,760500.0,1594500.0,0.08795074758135445,0.0,100.0
amatitlan,760,1595,27,0,0,0,0,0,760500.0,1595500.0,0.0,0.0,
amatitlan,760,1596,12,0,4,0,0,4,760500.0,1596500.0,33.333333333333336,33.333333333333336,
amatitlan,760,1600,61257,8705,3090,60,8645,3150,760500.0,1600500.0,5.142269454919438,5.879890394276146,0.6892590465249856
amatitlan,760,1601,98717,17499,1719,13,17486,1732,760500.0,1601500.0,1.7545103680217187,2.11652589327489,0.07428995942625292
amatitlan,760,1602,45009,7691,1217,70,7621,1287,760500.0,1602500.0,2.8594281143771245,3.261160833913929,0.9101547263034716
amatitlan,760,1603,1,0,0,0,0,0,760500.0,1603500.0,0.0,0.0,
amatitlan,761,1599,25798,290,405,89,201,494,761500.0,1599500.0,1.9148771222575394,1.5877371804923945,30.689655172413794
amatitlan,761,1600,77895,5806,4019,311,5495,4330,761500.0,1600500.0,5.558765004172283,5.575053059412671,5.356527729934551
amatitlan,761,1601,54973,6796,2391,185,6611,2576,761500.0,1601500.0,4.685936732577811,4.962949125101189,2.72218952324897
amatitlan,761,1602,46719,5323,2138,186,5137,2324,761500.0,1602500.0,4.974421541556969,5.16475021741231,3.494270148412549
amatitlan,761,1603,6216,931,285,21,910,306,761500.0,1603500.0,4.922779922779923,5.392620624408704,2.255639097744361
amatitlan,762,1598,29023,609,175,29,580,204,762500.0,1598500.0,0.7028908107363125,0.6158935735904836,4.761904761904762
amatitlan,762,1599,45749,970,889,252,718,1141,762500.0,1599500.0,2.4940435856521455,1.9853056120056276,25.97938144329897
amatitlan,762,1600,24426,2294,1420,116,2178,1536,762500.0,1600500.0,6.288381233112258,6.416049159587927,5.056669572798605
amatitlan,762,1601,2895,693,222,28,665,250,762500.0,1601500.0,8.635578583765112,10.08174386920981,4.040404040404041
amatitlan,762,1602,3233,413,142,20,393,162,762500.0,1602500.0,5.010825858335911,5.035460992907802,4.842615012106537
amatitlan,763,1596,18047,1137,282,21,1116,303,763500.0,1596500.0,1.6789494098742173,1.667652276759314,1.8469656992084433
amatitlan,763,1597,75560,2895,457,67,2828,524,763500.0,1597500.0,0.6934886183165696,0.6289135071905319,2.31433506044905
amatitlan,763,1598,92436,2131,413,32,2099,445,763500.0,1598500.0,0.4814141676403133,0.45733901777310226,1.5016424213984045
amatitlan,763,1599,7669,180,46,5,175,51,763500.0,1599500.0,0.6650149954361716,0.6142342101749232,2.7777777777777777
amatitlan,764,1594,4,0,1,0,0,1,764500.0,1594500.0,25.0,25.0,
amatitlan,764,1595,5424,303,238,7,296,245,764500.0,1595500.0,4.516961651917404,4.647529779339973,2.31023102310231
amatitlan,764,1596,101118,10234,1410,181,10053,1591,764500.0,1596500.0,1.5734092842026148,1.5514281941815942,1.7686144225131912
amatitlan,764,1597,110000,1191,747,24,1167,771,764500.0,1597500.0,0.7009090909090909,0.6865240926761573,2.0151133501259446
amatitlan,764,1598,54818,1966,499,172,1794,671,764500.0,1598500.0,1.2240504943631654,0.9441459169000227,8.748728382502543
amatitlan,764,1601,791,251,297,27,224,324,764500.0,1601500.0,40.960809102402024,55.0,10.756972111553784
amatitlan,765,1595,15099,1449,176,2,1447,178,765500.0,1595500.0,1.1788860189416517,1.2893772893772895,0.13802622498274672
amatitlan,765,1596,70988,9023,1229,196,8827,1425,765500.0,1596500.0,2.007381529272553,1.9833777132252077,2.1722265321955003
amatitlan,765,1597,73837,2574,475,35,2539,510,765500.0,1597500.0,0.6907106193371887,0.6665450514292129,1.3597513597513597
amatitlan,765,1598,62516,2599,768,336,2263,1104,765500.0,1598500.0,1.7659479173331627,1.28177311948195,12.928049249711428
amatitlan,766,1595,12,0,0,0,0,0,766500.0,1595500.0,0.0,0.0,
amatitlan,766,1597,26,0,16,0,0,16,766500.0,1597500.0,61.53846153846154,61.53846153846154,
amatitlan,766,1598,12119,438,738,55,383,793,766500.0,1598500.0,6.543444178562588,6.317952230117284,12.557077625570777
amatitlan,767,1598,12,0,8,0,0,8,767500.0,1598500.0,66.66666666666667,66.66666666666667,
atitlan,681,1617,67,0,6,0,0,6,681500.0,1617500.0,8.955223880597014,8.955223880597014,
atitlan,681,1618,343,0,0,0,0,0,681500.0,1618500.0,0.0,0.0,
atitlan,681,1630,100,0,0,0,0,0,681500.0,1630500.0,0.0,0.0,
atitlan,682,1617,27,0,0,0,0,0,682500.0,1617500.0,0.0,0.0,
atitlan,682,1618,955,0,0,0,0,0,682500.0,1618500.0,0.0,0.0,
atitlan,682,1624,60,0,0,0,0,0,682500.0,1624500.0,0.0,0.0,
atitlan,682,1631,19,0,0,0,0,0,682500.0,1631500.0,0.0,0.0,
atitlan,683,1614,15,0,5,0,0,5,683500.0,1614500.0,33.333333333333336,33.333333333333336,
atitlan,683,1618,84,0,0,0,0,0,683500.0,1618500.0,0.0,0.0,
